student_ID,total_study_time,active_days,total_submissions,avg_score,avg_daily_study_time,avg_daily_submissions
8b6d1125760bd3939b6e,136.93,4,75,1.4,34.23,18.75
63eef37311aaac915a45,637.0,9,316,0.487,70.78,35.11
5d89810b20079366fcc2,54.97,6,62,1.629,9.16,10.33
47eeab842793b09300c3,275.93,20,152,0.842,13.8,7.6
a8eea517e36b20757b2e,365.52,20,207,0.628,18.28,10.35
e89cdaa3f159a0d3f55e,1645.78,29,633,0.537,56.75,21.83
e324cc9cb52a2b3cb9cb,726.27,18,262,0.466,40.35,14.56
98e10f84d94623f8b39e,719.35,8,256,0.438,89.92,32.0
3c89c7f1db26ae691db8,1114.82,30,386,0.56,37.16,12.87
9ea29e4a747ea4a7c70a,1011.15,27,278,0.766,37.45,10.3
e23ada44d3eac9b465d2,283.37,25,91,1.407,11.33,3.64
b79c2d9d8148403a3720,868.17,22,341,0.977,39.46,15.5
01d8aa21ef476b66c573,689.67,14,182,0.956,49.26,13.0
9417c1b4c24e428984bc,867.9,19,371,0.509,45.68,19.53
3d63ba961a5f3a60616a,288.58,15,107,1.168,19.24,7.13
57709f904b1cc9ec60b1,1016.9,35,200,0.925,29.05,5.71
8979427badebb9e2bd10,523.88,17,130,1.069,30.82,7.65
6e7d56f652020f046204,617.08,26,158,0.962,23.73,6.08
03aa0b20dd4af1888eef,946.8,37,253,0.822,25.59,6.84
1b25734414fcc7466153,1023.3,38,300,0.667,26.93,7.89
8777bd09f180d330b147,578.7,27,221,0.566,21.43,8.19
8b1fbc97391699e46cef,1542.53,34,434,0.578,45.37,12.76
dc83f9577ae72447a7b1,999.37,32,318,0.619,31.23,9.94
be503fccbf0ae5532639,555.63,14,161,0.72,39.69,11.5
cd6355bf939a47577f6d,1585.9,34,604,0.675,46.64,17.76
fb4411db1aac3cd2544b,432.67,18,138,0.899,24.04,7.67
f06c3ddb1a98713eeb32,903.68,18,268,0.608,50.2,14.89
bca2be7a89b9b36b45cc,574.07,30,194,1.521,19.14,6.47
f058870b1bc33e288e82,294.72,11,136,1.169,26.79,12.36
a1fa76b5d99a411d6649,453.03,24,140,1.171,18.88,5.83
79ea7a2f63285f2fe26b,453.05,15,148,1.574,30.2,9.87
54826f4abf592713d585,500.88,20,155,1.29,25.04,7.75
e716574233e87591ff19,893.28,22,265,0.562,40.6,12.05
bab3d23935ae4f8e798c,1481.18,39,490,0.908,37.98,12.56
d2403aa287eb869a170a,1152.13,20,437,0.352,57.61,21.85
ce1a32f22b91f4d81015,618.12,21,210,0.724,29.43,10.0
d0a933a514028d777578,405.73,17,126,1.643,23.87,7.41
81c4c46f19cb21d54bbb,408.0,22,109,1.128,18.55,4.95
876aca2b8ce1958ea773,1635.9,35,515,0.468,46.74,14.71
c57c5ca2df494f27ca64,306.42,24,141,1.277,12.77,5.88
64d1d58d40bca568347c,404.95,15,133,1.128,27.0,8.87
75c2677c8d156032e303,1530.52,31,465,0.473,49.37,15.0
b345ecad87a7fbac77ce,942.9,31,382,1.207,30.42,12.32
360820d6620d17d1b48b,658.6,37,294,1.054,17.8,7.95
7086b49d3d6c2cf79c1a,403.65,20,121,1.116,20.18,6.05
cac3f85073c947532796,1143.3,26,313,1.016,43.97,12.04
e37bbe9fe37f92b785d9,634.92,26,235,1.204,24.42,9.04
0a8736f6520cea837d94,632.25,20,312,0.516,31.61,15.6
37ae91c472189108a737,247.03,12,96,1.24,20.59,8.0
488934d01a504bc212b4,490.2,21,133,1.03,23.34,6.33
545eb6c8154273344669,671.75,26,197,0.792,25.84,7.58
22ae866c664a147f9971,507.28,15,93,1.484,33.82,6.2
86215294b080f19af22f,895.27,19,233,0.682,47.12,12.26
1e25b47eaef62694a236,243.35,5,131,1.137,48.67,26.2
580e98185da72b5f34cd,947.8,22,359,0.841,43.08,16.32
99d6b8a1cc0020112951,623.8,19,162,1.037,32.83,8.53
ff59855075a6bc39d62b,111.72,9,76,1.382,12.41,8.44
8d422b817027d7721870,358.77,22,95,1.568,16.31,4.32
18cdd44af62c6935e7a0,924.77,20,256,1.094,46.24,12.8
c00c91256ab1777d0dbc,803.7,15,266,0.583,53.58,17.73
10de703c06bf9d873d68,338.93,16,193,0.876,21.18,12.06
t3wo8xb4rq94n3fpfk35,297.52,64,143,0.846,4.65,2.23
8cvzwcc62ql4rqj0pyzl,123.43,62,142,0.908,1.99,2.29
79cvflltnemb9zpg6pgl,187.87,66,144,0.785,2.85,2.18
i21qi5qdsjqcch2xvdd5,305.75,64,152,0.789,4.78,2.38
qw1seyo5nrhlm8vby58w,264.95,65,150,0.773,4.08,2.31
exj3a7hd6gwihbowgm3w,230.7,68,145,0.724,3.39,2.13
qz6jjynwbd3szlp0rj04,256.25,66,137,0.766,3.88,2.08
0maggb1hf886m5u6p2vr,227.43,72,157,0.79,3.16,2.18
cuwakm24vlp785ky5w71,309.62,64,167,0.814,4.84,2.61
uvh2zil455wi0dcdan51,281.78,65,156,0.821,4.34,2.4
wwh529n48kyjq1xe9h46,94.92,60,116,0.974,1.58,1.93
o5lo8q4tb8yt0v8imkw4,246.97,63,145,0.869,3.92,2.3
pr6b1twg5sgsrzek6adi,171.97,64,158,0.703,2.69,2.47
zeuj2ypen39p38d4m3oj,365.08,59,153,0.562,6.19,2.59
6o68qswzkvrrtbiz6bzr,257.48,73,172,0.785,3.53,2.36
1mp9yiw6rkrr3846047g,277.63,59,133,0.842,4.71,2.25
lzvutqpj9ggc0nwwsxcv,188.67,60,143,0.832,3.14,2.38
isa355t9q5rut5fm8aml,298.92,68,143,0.888,4.4,2.1
5gs9643ghg39gpkgi3e5,132.82,57,135,0.83,2.33,2.37
ao2x473zwn7k7a6gpfr9,111.78,69,141,0.801,1.62,2.04
jwdjcrxdn0um79f0rjvw,169.58,64,138,0.884,2.65,2.16
oppl3ojvw61dvd5yw1wl,245.7,72,176,0.835,3.41,2.44
s0vfgmhobw9jq6al8iww,170.4,58,136,0.831,2.94,2.34
styld7k1gge5cvjria5b,208.73,58,127,0.906,3.6,2.19
fvurnsqlgyr9zbd6msqs,219.57,64,129,0.775,3.43,2.02
47vclaej1xmb0rc8kgka,242.8,67,149,0.752,3.62,2.22
cnkddx6ofjqd7ueylz0e,343.63,65,153,0.85,5.29,2.35
zlaig56ve06t7jruk2mr,256.2,65,142,0.972,3.94,2.18
ifj584ryrjv639n4nnsu,231.3,63,146,0.849,3.67,2.32
xh8a7nmtz192pknhec33,66.37,57,105,0.762,1.16,1.84
vhlntoniujqiclub2juy,137.63,64,131,0.901,2.15,2.05
9wax6sfj9cuqbbxc95om,147.78,73,135,0.837,2.02,1.85
oit2xadfbpuveswzx4pf,199.02,63,133,0.737,3.16,2.11
91ybnlkli8x332l13rrk,210.33,61,136,0.699,3.45,2.23
k4usquerebza4uy0i57h,174.22,69,132,0.697,2.52,1.91
119b36a5797d5ce69625,584.48,27,177,0.949,21.65,6.56
ee07cc24589beb775d33,490.88,18,208,1.01,27.27,11.56
44c7cf3881ae07f7fb3e,452.98,10,170,0.853,45.3,17.0
c681117f7f586fd730bb,453.1,17,185,1.022,26.65,10.88
1cfe33c5b178a0c2367f,295.3,11,119,1.134,26.85,10.82
6496d6268092ef8e7e9d,901.88,22,211,0.744,40.99,9.59
00cbf05221bb479e66c3,731.6,20,240,0.596,36.58,12.0
5963ba5cd9d242a00e22,614.03,19,158,0.709,32.32,8.32
9a630f9e9f4ec26d8fcd,511.33,17,128,1.086,30.08,7.53
21e23771e52cb5291b19,860.17,35,417,0.456,24.58,11.91
9c48779f6e97be993771,514.93,19,199,0.955,27.1,10.47
9795edf22e930bc30fa4,1320.22,19,377,0.737,69.49,19.84
bf07cdd92f1ff3197397,703.67,36,263,0.567,19.55,7.31
7742559d8e833fbcd326,730.68,10,238,0.782,73.07,23.8
8a45d6748ec853f7694c,783.07,14,188,0.777,55.93,13.43
d3e269bf68d51851097c,740.2,22,285,0.67,33.65,12.95
8f1ddd99ac8c59bbd788,607.97,14,132,1.485,43.43,9.43
03b463f52c0fff35433b,247.88,13,72,1.653,19.07,5.54
b7f42d4b51972267680e,730.85,14,250,1.108,52.2,17.86
a1d00fdd7660b7e88077,658.12,14,132,1.273,47.01,9.43
ac7214620207dfdd149d,81.42,6,86,1.291,13.57,14.33
117ee98c7f916c88ddbb,795.6,18,216,0.829,44.2,12.0
91439fcb2590c49dd20d,344.7,11,104,1.154,31.34,9.45
53d51965c40a54cff1a0,458.82,14,118,1.475,32.77,8.43
efd58fbebca61c41c881,50.75,3,38,2.605,16.92,12.67
be75e05b9db5efb1258a,430.48,11,99,1.586,39.13,9.0
a337d5368b0d110803b1,334.92,15,82,1.366,22.33,5.47
204a7d6db340a3c18ca7,219.37,11,53,2.094,19.94,4.82
97442da123c449f6a146,668.25,15,140,0.993,44.55,9.33
cac84b1c3033872272f0,685.9,21,153,1.078,32.66,7.29
882ccee198e25b49b30d,1526.0,21,837,0.452,72.67,39.86
8068144149e4ba65ef38,917.08,20,283,0.569,45.85,14.15
d035c324a020e7948fe8,639.13,23,179,0.989,27.79,7.78
e43a0e28d5cd6b54a2af,190.28,12,90,1.278,15.86,7.5
3565d61f3efec69e611c,383.27,12,81,1.395,31.94,6.75
e7feb8599ea5f596aeac,389.42,29,125,1.36,13.43,4.31
8ca890875272aede0af5,494.7,19,127,1.386,26.04,6.68
2150588a5903d9a77b79,863.85,20,197,0.934,43.19,9.85
e2d7ee3637149f7087b2,342.1,18,227,0.52,19.01,12.61
bd8eb49a6b08f5e66a70,373.13,5,117,1.538,74.63,23.4
915813ad1b5f1bbe2d6e,353.87,8,82,1.768,44.23,10.25
38357be0ab369a9ae942,484.7,20,134,1.149,24.24,6.7
798ff22d126a0f8034ff,575.55,13,108,1.343,44.27,8.31
4cb96f0d9108066442a8,297.05,9,110,1.118,33.01,12.22
cfaac49f7cc94528ffa7,284.53,16,97,1.619,17.78,6.06
89af2669cc93dc97f545,452.63,9,190,0.642,50.29,21.11
41abb1b9df74d29b7732,132.87,7,95,1.189,18.98,13.57
a5c03c57b0930cb5c2ac,151.57,6,62,1.613,25.26,10.33
ef133c92e274a97b6eeb,220.52,7,69,1.812,31.5,9.86
fnvhgnuqbir0drk8p1v2,338.8,56,124,1.032,6.05,2.21
zse4s5wowlo5xntqyqb4,403.42,61,159,1.157,6.61,2.61
wyhkcaf32y8h3707qzrz,188.17,64,140,0.907,2.94,2.19
2egpenarap9h0a2k0bc5,289.48,57,142,0.873,5.08,2.49
cfi8t4xrx12m2lt4flwz,373.58,57,153,0.732,6.55,2.68
t8sflynjwck4f650mtvp,211.07,64,145,0.89,3.3,2.27
pva49fsfcbexwz1crjvg,259.45,55,132,0.955,4.72,2.4
lswzzwjmreuixxjqglhy,297.88,61,141,0.766,4.88,2.31
votyzmo33yg7y89dag17,237.55,53,136,0.728,4.48,2.57
cy2sv8kkoybje2okbll0,263.88,59,143,1.014,4.47,2.42
jsmqh4aa20rpfeqmyx4h,398.85,51,133,0.932,7.82,2.61
ss27ig83t1pi1ztsy5w8,289.8,65,145,0.91,4.46,2.23
7rzwry01x1n79a7rw5va,265.57,62,144,0.833,4.28,2.32
yvyud23n1eara086vntf,327.02,59,142,0.852,5.54,2.41
9btb3ax7qaitktvbvn8g,422.47,54,145,0.841,7.82,2.69
vrx3ianblcyuixzmhzl2,507.67,60,155,0.742,8.46,2.58
qmf8702zbahi9083s7aq,418.88,56,141,1.028,7.48,2.52
13nq2h723zixyhir01lf,398.77,64,167,0.916,6.23,2.61
ta1gbqs6pw15bx0jb5on,245.07,56,139,0.82,4.38,2.48
jhmn3s11l13woe6jy3zg,290.92,62,170,0.959,4.69,2.74
w0u7vzowm7eimiupvmm3,254.62,66,147,0.918,3.86,2.23
2h9c9tdsnoz1hyzo5frt,257.95,63,153,1.007,4.09,2.43
vou4hlfvp8hv0r4odzq6,339.05,58,138,1.036,5.85,2.38
6g7c63m95z8acd3vx5ct,264.18,54,133,0.82,4.89,2.46
te17utf5x961ldgs8zwn,368.25,54,145,0.883,6.82,2.69
csvv3l0saxxx6pax18c3,279.12,53,122,1.0,5.27,2.3
kg28tppvvsvr918dkvlb,271.23,50,121,0.983,5.42,2.42
28tmrs0kyrrh1odyvf21,492.37,61,159,0.818,8.07,2.61
l82rq4xaymt7t5uytax9,226.15,52,136,0.897,4.35,2.62
jb3fqd2b9oyprn83h646,292.9,60,145,0.848,4.88,2.42
oyaoqkf2b1we4b67bv8l,245.92,57,150,0.84,4.31,2.63
l2yv9tvvcakn7ikerccy,329.05,52,135,0.741,6.33,2.6
xz7x7kwsn26marn29mag,309.22,61,147,0.973,5.07,2.41
qg0soq1i1uy7yndj17gd,181.0,52,125,0.912,3.48,2.4
8ivuhc6n7pr63b39dupt,226.3,64,148,0.98,3.54,2.31
139429592a9c23c08b71,264.73,10,108,1.019,26.47,10.8
b217bae3c84d59dde71f,437.13,21,178,0.73,20.82,8.48
e50db74322430aa289b1,264.05,13,148,1.041,20.31,11.38
4388d48ebff4cf866ecd,282.2,13,92,0.957,21.71,7.08
cef765c4375252a6029b,190.27,5,108,0.722,38.05,21.6
3ac65fbc295f5fbd2ff7,183.62,1,109,0.936,183.62,109.0
e73ae5f649c6f52b3fb1,503.72,32,154,1.325,15.74,4.81
b57bc31cac59b3d26216,1276.63,16,654,0.994,79.79,40.88
132c90d4a027a4477ad0,315.08,9,136,0.779,35.01,15.11
33c123d08dc07edb50f9,277.27,10,67,1.627,27.73,6.7
9f447b50d5788f7b4d0a,483.58,25,117,1.068,19.34,4.68
23f1f5d3d90e2890a423,646.88,19,257,0.887,34.05,13.53
34aaaa47df8c4aa4d926,1077.87,29,241,0.556,37.17,8.31
875704a45c0214c68eae,809.32,17,198,0.965,47.61,11.65
c5c5e10586e94f96fe95,767.12,14,234,0.923,54.79,16.71
2a003b122e9500e465c4,538.65,22,161,0.876,24.48,7.32
533bc4c6716035e694ac,497.28,8,210,0.643,62.16,26.25
a624e4f6e0a8f026cba9,294.73,25,92,1.522,11.79,3.68
7509bbe0d23fe15928ba,296.67,7,139,0.734,42.38,19.86
eb93cedc17b4eac76750,611.63,22,180,0.911,27.8,8.18
1feef8b4129f5bf21e67,389.72,24,122,1.5,16.24,5.08
951d2aca1b8a1c336908,561.08,13,243,0.811,43.16,18.69
49b95110a8c59f6b6c58,970.95,22,344,0.57,44.13,15.64
b8c0c68e7f1220949deb,452.48,17,89,1.483,26.62,5.24
451b0095938a3c54efc4,401.77,11,120,1.117,36.52,10.91
e4c80506c14da4ad563d,435.93,16,159,0.994,27.25,9.94
25019b8f1c3ac537894b,502.07,18,123,1.171,27.89,6.83
4884f3bdc068ef01e042,1028.48,12,361,0.767,85.71,30.08
b43532c7a35b6aedd478,204.05,7,53,2.038,29.15,7.57
f9c641e9c05c243a751e,436.93,9,157,0.822,48.55,17.44
960bf72352d4f58ad083,543.28,15,166,0.735,36.22,11.07
0557b1363a5092b5811f,1032.3,17,500,0.44,60.72,29.41
091554ffa26fc9b17c36,227.83,14,75,1.827,16.27,5.36
d7ad1a5f3ab7d6237f8e,1045.05,27,365,0.619,38.71,13.52
e4d6737b176e6ca5ef06,478.62,16,192,0.734,29.91,12.0
5914db0d4427b322e8af,465.15,13,138,0.486,35.78,10.62
6314d7cbc465e29f357c,296.03,15,128,0.93,19.74,8.53
d2cb0d0da17471ee23a9,382.75,10,189,0.556,38.27,18.9
75dcc10ba89fd0c25d50,668.88,20,209,1.005,33.44,10.45
98be3476791a8df7e937,580.62,17,275,0.782,34.15,16.18
29172d2e39ca0d890848,310.48,22,97,1.732,14.11,4.41
b083663157e08e36d335,302.57,15,66,1.652,20.17,4.4
48ad93c227abfa9542aa,392.97,7,198,0.919,56.14,28.29
3ab864e1e692786fefd2,243.38,14,132,0.826,17.38,9.43
3b6f3bb370f3107e257d,214.77,6,51,1.961,35.79,8.5
a12c27630a75f6a4a64a,537.35,5,215,0.814,107.47,43.0
hq2dy5tjgczdmkvq0l2d,234.8,6,50,2.16,39.13,8.33
4a0890c15c26984c191f,617.85,21,212,0.797,29.42,10.1
a0b36e07079573966740,168.03,2,51,2.157,84.02,25.5
852687af72e9ee38fb42,329.72,5,54,2.093,65.94,10.8
9723ceb0cf2dca42c118,610.53,13,202,0.594,46.96,15.54
bd657014cfd3fe7a8fe2,397.65,12,95,1.832,33.14,7.92
2xk6toebmkxdw8f2bypd,135.43,6,72,1.667,22.57,12.0
02068067a434adb6556a,0.82,1,4,0.0,0.82,4.0
3531c5f9d520759ba697,521.3,16,244,1.016,32.58,15.25
037a76bc8e6bf5fe1fc0,319.1,2,41,2.439,159.55,20.5
c08165d73ae49215c391,292.58,21,173,1.185,13.93,8.24
84146496b8d6256d6982,102.8,7,52,1.981,14.69,7.43
5be7405ad4ae9d9a2853,374.42,9,177,0.932,41.6,19.67
avehb7ibwpvjcgcr474k,267.77,10,76,1.697,26.78,7.6
sfmngecoi3b7ahvhi2k6,357.97,6,89,1.36,59.66,14.83
1f4oscu6io8xlog2157e,174.3,64,135,0.97,2.72,2.11
gj009a2t56bxjluh0mox,272.37,80,171,0.947,3.4,2.14
ov1tvylbnny48ojayssl,318.0,70,142,0.993,4.54,2.03
qw19zri3d9vkqjhcn3xk,207.92,60,112,0.964,3.47,1.87
yesnbayr80dvsb8ajp9v,310.67,75,160,0.988,4.14,2.13
msko5bf6rjt9adsuxby9,252.53,76,155,0.845,3.32,2.04
8hn55e1bxuyegxa76l3r,126.33,67,137,0.964,1.89,2.04
t23e5lcdy5k50uvg5k0v,178.15,63,131,1.053,2.83,2.08
gsirdbny6840zq22vo7a,296.07,73,162,0.969,4.06,2.22
rb8z9vpc5uyhbcaa71v5,333.33,71,160,0.919,4.69,2.25
fcwom6dicy0kov3lxsf8,211.3,71,149,1.06,2.98,2.1
1nyzl7s790ta4c8r1l9g,219.9,64,142,0.979,3.44,2.22
rdf3wmujcm1k56ftf8uc,306.78,69,146,0.822,4.45,2.12
40rkj6cwy12hdupgq4w2,295.12,67,139,1.101,4.4,2.07
obyl72l5qy37to65i5ml,410.53,70,160,0.888,5.86,2.29
sx8c4g672zgcw7w2lflp,211.08,79,160,0.912,2.67,2.03
wj1gt5zvzfnjf7xcf1c8,292.2,71,134,0.903,4.12,1.89
p9a57kwg5xdwjzm8eql9,223.08,68,139,0.971,3.28,2.04
w9r5wihhl33fmutbq5qd,196.67,77,152,0.908,2.55,1.97
z0mde15metn3m79ek96y,163.28,63,135,0.941,2.59,2.14
udbo68xozj9btqumivk2,250.97,67,133,0.955,3.75,1.99
qu1rl2d6teeyti106rgx,237.93,60,134,0.836,3.97,2.23
i8wbhc071gfhkbhtmeb1,141.15,63,125,0.984,2.24,1.98
8l0qqik09gqh0e5anus0,240.05,65,138,0.978,3.69,2.12
7kqvekz6iho08947fhk9,241.1,62,131,1.031,3.89,2.11
148o63s7q5aitfxmmtrg,378.75,71,173,1.121,5.33,2.44
gk8izwg77g6t4p5buiar,280.55,64,135,0.852,4.38,2.11
70exfe4k4e5vvm5sqspq,301.97,77,141,1.0,3.92,1.83
e43g7im7dra88a4o8bbl,327.7,62,145,0.862,5.29,2.34
lqg2nmqf4x8w52gx12xw,167.33,68,131,0.878,2.46,1.93
lpzjucfyqwtb8ihim9b3,159.03,63,149,0.96,2.52,2.37
woxwsoo99kl7vq4mk0rr,179.5,67,135,0.852,2.68,2.01
gq3jw96afgct5rjiim20,156.08,71,143,0.979,2.2,2.01
hc0idvz0lxc4zpx94cbx,221.23,60,131,0.924,3.69,2.18
43vri1lqbgiiwbkaskqd,263.38,66,135,0.985,3.99,2.05
43d98a750c726bb39d11,486.82,18,137,1.358,27.05,7.61
5d16326e4577a67d94c6,527.32,20,149,0.906,26.37,7.45
e00bc7d9f2ce32c4f745,482.07,30,200,1.275,16.07,6.67
21fc5674d24be8e9da89,76.18,5,51,2.02,15.24,10.2
a7fc1ba478db11fde063,237.75,18,80,1.325,13.21,4.44
63ff3dff3eb31d62ab3e,599.03,13,225,0.6,46.08,17.31
4edfd2e1b7c5c5d1d384,274.43,16,77,1.273,17.15,4.81
cbc8550ffaf44443c7ad,355.45,11,171,0.725,32.31,15.55
766836b5f30556e81da4,260.05,10,100,1.06,26.0,10.0
df02e3643bb9ee33fb0c,409.0,17,124,1.371,24.06,7.29
f5c3c6eb77fac482de13,338.15,19,85,1.341,17.8,4.47
5f8d87412f69e3d9fb13,291.87,12,68,1.765,24.32,5.67
6923e581d76689cb57a1,437.48,21,153,0.824,20.83,7.29
e865c97bc96802575f80,921.57,26,427,0.585,35.44,16.42
fb5d5693ffa9f022a191,441.12,17,92,1.359,25.95,5.41
1bd9bb053a3ac1bba507,180.12,9,85,1.859,20.01,9.44
49ef48443e09f8be12f6,437.9,12,119,1.336,36.49,9.92
def1216bf8f3009dbe41,565.47,19,159,0.849,29.76,8.37
d02f48d05ce5e7ca16e1,524.55,18,139,1.424,29.14,7.72
6b22922bfe081d68c7a6,1007.02,26,312,0.923,38.73,12.0
baed8a816ea02ae929f4,530.32,23,183,1.213,23.06,7.96
dee7cfe3312551bdf5a5,438.08,16,109,1.404,27.38,6.81
ef912a5602a5f70b244b,398.32,18,86,1.395,22.13,4.78
48a71a6a5a15e31084e3,436.53,16,119,1.092,27.28,7.44
16d68f70cf5e52d0b34a,680.6,26,218,0.78,26.18,8.38
ba8c301bda7090bda756,245.92,17,61,1.967,14.47,3.59
311abc37a94ae8afe41a,594.75,22,152,1.276,27.03,6.91
fdd50b3ad56dcf116c82,572.32,20,100,1.21,28.62,5.0
e22c18eef214a779b4c2,603.48,23,197,1.188,26.24,8.57
8711049a2e0ef13bb10c,316.58,20,69,1.681,15.83,3.45
9ef8a5baccebc3841cb2,297.77,14,75,1.987,21.27,5.36
adcc5c13042d66cbfc8b,526.3,18,208,0.856,29.24,11.56
54f91ccb08cbece520da,557.1,22,154,1.156,25.32,7.0
cb65e2038b786e801292,289.08,13,55,2.291,22.24,4.23
1f67cb2e7affbb00b6c8,852.72,19,360,0.669,44.88,18.95
45b6cc87a7e957f83027,734.22,14,161,1.758,52.44,11.5
ff2d815d9ef74b153b54,358.93,25,106,1.113,14.36,4.24
73ae359d8e93d41ae4ff,366.8,18,98,1.653,20.38,5.44
264320c6b92b92795ba0,745.47,28,223,0.655,26.62,7.96
504278569f7c6dff25e3,284.1,23,78,2.179,12.35,3.39
40eb36011ced9a882ea9,457.28,28,238,1.929,16.33,8.5
ed4b51eb098deb0ba58e,494.72,20,156,1.462,24.74,7.8
b4a2138f577d9306f593,805.12,28,322,1.112,28.75,11.5
76366e9c264169b2bae1,518.45,12,202,0.946,43.2,16.83
d059dfed16a6d1ca6ddf,619.02,32,177,1.153,19.34,5.53
0b828e1ae026c57b34dd,376.17,21,88,1.625,17.91,4.19
b1976734aee3bf129820,611.12,15,220,1.318,40.74,14.67
50673b01fd2b0c765572,548.42,24,193,0.715,22.85,8.04
b3ac0cebf20ee45135ca,696.28,19,238,0.84,36.65,12.53
74137c4db75be61c10fa,1039.37,34,336,0.714,30.57,9.88
781f69b185122bfaddca,529.83,9,115,1.617,58.87,12.78
744e7141564ed216b812,343.2,17,62,1.968,20.19,3.65
3c1b9222136b752563f6,230.62,8,73,1.575,28.83,9.12
48a96425072cefa0dc69,628.63,16,142,1.113,39.29,8.88
8ee4fdce37fceab5620a,141.77,13,65,1.631,10.91,5.0
d6d4488fa27e11465974,174.82,20,61,1.967,8.74,3.05
6efd353d32bd3d908b23,267.67,11,135,1.289,24.33,12.27
4ca5c8ea55be09213d14,382.57,12,138,0.942,31.88,11.5
ec86426a6e0331d06091,301.23,11,102,1.01,27.38,9.27
09400a9b50b6c96c5510,638.48,19,172,1.192,33.6,9.05
f5jwwahac3fyc6rq5tex,167.63,63,142,1.014,2.66,2.25
mwmft9w9vjod1g7jidmb,245.82,63,143,1.189,3.9,2.27
zprxec1qxs8nqsmc5830,226.88,69,157,1.172,3.29,2.28
